customer_id,home_city,avg_monthly_spend,account_age_days
1,Toronto,407.25,322
2,Montreal,680.9,1527
3,Edmonton,624.25,1904
4,Calgary,951.52,2867
5,Calgary,325.44,3602
6,Ottawa,512.1,1537
7,Toronto,864.76,2741
8,Montreal,216.68,3423
9,Vancouver,1014.31,3035
10,Toronto,959.39,1081
11,Edmonton,811.15,2989
12,Ottawa,945.06,1522
13,Montreal,488.35,93
14,Montreal,1471.29,2777
15,Montreal,1360.38,3054
16,Montreal,821.28,1274
17,Edmonton,717.37,1662
18,Toronto,1062.68,1348
19,Ottawa,411.06,453
20,Calgary,960.39,3631
21,Edmonton,815.43,111
22,Calgary,525.05,2041
23,Vancouver,833.6,84
24,Ottawa,1445.85,2525
25,Montreal,193.55,3291
26,Edmonton,330.67,2359
27,Calgary,561.0,2224
28,Montreal,953.01,3027
29,Edmonton,804.2,3556
30,Calgary,951.16,3149
31,Calgary,528.68,867
32,Vancouver,681.5,2068
33,Toronto,1191.08,2994
34,Edmonton,752.92,1096
35,Ottawa,885.0,2474
36,Toronto,666.1,112
37,Ottawa,463.9,3205
38,Montreal,983.22,2254
39,Vancouver,1148.53,2720
40,Edmonton,709.15,3018
41,Toronto,373.82,821
42,Montreal,913.62,1660
43,Montreal,861.71,3138
44,Calgary,586.78,626
45,Toronto,2246.0,3007
46,Ottawa,1466.27,1072
47,Calgary,849.01,2113
48,Ottawa,865.21,1876
49,Montreal,1453.9,2515
50,Montreal,1243.96,3058
51,Montreal,642.37,1293
52,Vancouver,870.22,651
53,Calgary,635.58,1560
54,Calgary,307.31,2245
55,Calgary,204.91,2746
56,Toronto,763.6,2757
57,Edmonton,1441.07,1260
58,Toronto,606.81,3418
59,Montreal,692.26,331
60,Montreal,513.47,452
61,Ottawa,214.19,119
62,Montreal,559.96,3383
63,Calgary,670.15,682
64,Ottawa,743.04,2207
65,Calgary,1303.07,2972
66,Vancouver,889.64,2805
67,Ottawa,1313.1,3464
68,Calgary,950.11,224
69,Toronto,902.12,1503
70,Calgary,995.6,1862
71,Montreal,392.04,2550
72,Vancouver,1071.88,2283
73,Calgary,561.79,2057
74,Toronto,573.25,1140
75,Montreal,699.44,415
76,Calgary,529.79,1592
77,Vancouver,339.03,969
78,Vancouver,667.94,2036
79,Edmonton,574.95,2915
80,Montreal,562.35,2030
81,Ottawa,627.28,2140
82,Calgary,124.67,181
83,Toronto,564.93,2363
84,Montreal,1404.8,1620
85,Edmonton,1343.14,477
86,Montreal,681.98,804
87,Toronto,668.22,2856
88,Vancouver,97.3,3348
89,Montreal,468.6,1867
90,Montreal,989.95,3565
91,Calgary,521.78,681
92,Montreal,1181.88,1114
93,Ottawa,1141.95,3396
94,Calgary,462.71,664
95,Ottawa,712.85,2416
96,Vancouver,1466.92,824
97,Vancouver,239.23,1228
98,Montreal,529.09,1759
99,Edmonton,221.22,1333
100,Toronto,373.37,3195
101,Montreal,1705.91,3551
102,Vancouver,528.98,1840
103,Montreal,151.7,1931
104,Toronto,336.64,230
105,Montreal,203.54,877
106,Montreal,729.2,174
107,Montreal,852.03,3131
108,Edmonton,1080.0,853
109,Calgary,959.84,1263
110,Montreal,247.84,3080
111,Vancouver,827.23,2612
112,Montreal,610.75,2279
113,Edmonton,1168.37,169
114,Calgary,1022.19,2067
115,Edmonton,1830.05,2060
116,Edmonton,355.44,1184
117,Toronto,321.23,2726
118,Toronto,487.23,3394
119,Vancouver,625.73,967
120,Toronto,427.56,1228
121,Calgary,368.21,1196
122,Montreal,795.65,3052
123,Edmonton,486.27,311
124,Calgary,415.73,3273
125,Ottawa,247.5,2835
126,Edmonton,105.42,1779
127,Toronto,1367.06,2142
128,Montreal,1344.52,3267
129,Edmonton,1039.9,2816
130,Edmonton,904.26,1032
131,Edmonton,457.87,212
132,Edmonton,925.56,2413
133,Toronto,305.32,557
134,Edmonton,702.61,348
135,Montreal,392.64,3585
136,Vancouver,927.77,1745
137,Edmonton,1522.11,2386
138,Toronto,335.75,816
139,Calgary,472.54,398
140,Calgary,694.81,257
141,Ottawa,167.5,1312
142,Vancouver,211.19,43
143,Vancouver,1497.4,1550
144,Calgary,797.7,1205
145,Ottawa,441.6,1937
146,Ottawa,651.06,2164
147,Toronto,488.54,1146
148,Vancouver,707.23,1677
149,Montreal,500.27,312
150,Toronto,620.62,1122
151,Ottawa,975.14,3571
152,Vancouver,939.53,3618
153,Ottawa,1450.67,1788
154,Vancouver,830.86,3431
155,Calgary,676.25,1844
156,Edmonton,1570.89,484
157,Toronto,581.56,3171
158,Edmonton,115.16,1532
159,Edmonton,1047.2,2246
160,Montreal,774.23,2378
161,Ottawa,657.23,1145
162,Edmonton,1062.93,2685
163,Calgary,503.01,1844
164,Calgary,120.48,1356
165,Calgary,1074.83,1108
166,Montreal,431.46,2731
167,Vancouver,345.12,932
168,Vancouver,126.42,479
169,Calgary,1024.21,3221
170,Toronto,80.19,1231
171,Toronto,1307.29,2350
172,Toronto,534.62,2623
173,Montreal,1052.03,3064
174,Montreal,845.55,2294
175,Montreal,1732.38,2592
176,Calgary,832.27,3060
177,Montreal,1280.31,3444
178,Toronto,462.94,199
179,Ottawa,210.53,2720
180,Edmonton,1144.77,661
181,Ottawa,205.64,3256
182,Toronto,1017.8,205
183,Calgary,317.12,923
184,Montreal,783.12,725
185,Calgary,1750.4,2214
186,Calgary,972.93,45
187,Toronto,583.14,91
188,Calgary,857.01,1855
189,Vancouver,473.93,3547
190,Vancouver,2124.15,1942
191,Montreal,410.17,1644
192,Edmonton,623.09,2411
193,Edmonton,923.57,2027
194,Calgary,821.24,1423
195,Ottawa,875.67,2160
196,Toronto,480.33,41
197,Calgary,568.27,915
198,Toronto,1115.08,2469
199,Calgary,1084.13,1266
200,Ottawa,832.7,226
201,Calgary,1369.48,480
202,Ottawa,1140.16,3165
203,Calgary,1065.67,1223
204,Montreal,202.6,112
205,Calgary,826.84,2668
206,Vancouver,741.68,1950
207,Montreal,1467.37,1664
208,Ottawa,47.57,3269
209,Vancouver,601.68,1165
210,Montreal,705.86,2102
211,Vancouver,314.19,2726
212,Montreal,358.32,2232
213,Montreal,1469.99,782
214,Calgary,873.73,2497
215,Montreal,1752.6,2721
216,Vancouver,594.9,473
217,Toronto,240.85,628
218,Toronto,542.95,2473
219,Calgary,485.42,460
220,Ottawa,992.38,3216
221,Toronto,969.71,426
222,Calgary,898.89,3556
223,Montreal,2054.12,2460
224,Vancouver,1325.31,1633
225,Montreal,375.78,1001
226,Vancouver,1161.25,1277
227,Montreal,678.17,2739
228,Edmonton,584.78,2756
229,Edmonton,1417.91,785
230,Vancouver,359.51,1995
231,Calgary,1117.87,3624
232,Ottawa,1019.68,961
233,Toronto,354.78,2540
234,Montreal,197.08,653
235,Calgary,633.18,3049
236,Montreal,41.62,646
237,Edmonton,1236.92,1107
238,Calgary,824.98,1692
239,Vancouver,1443.39,1371
240,Edmonton,792.22,645
241,Toronto,1497.16,2350
242,Edmonton,452.63,101
243,Toronto,897.25,3590
244,Edmonton,517.98,218
245,Edmonton,621.12,1238
246,Toronto,704.4,3396
247,Montreal,823.44,591
248,Calgary,412.44,294
249,Montreal,872.5,2722
250,Toronto,683.24,294
251,Vancouver,251.26,3286
252,Calgary,174.1,1663
253,Vancouver,1239.52,3176
254,Vancouver,602.39,917
255,Edmonton,231.19,540
256,Toronto,1633.72,3514
257,Montreal,924.1,2789
258,Toronto,810.64,3327
259,Vancouver,387.79,1187
260,Edmonton,248.56,1495
261,Montreal,742.33,2119
262,Vancouver,657.45,1654
263,Vancouver,317.88,908
264,Ottawa,309.9,1387
265,Ottawa,298.75,2233
266,Edmonton,291.3,167
267,Calgary,442.8,1246
268,Calgary,810.8,1090
269,Edmonton,891.7,284
270,Edmonton,649.21,474
271,Vancouver,722.17,1824
272,Toronto,916.41,400
273,Toronto,138.5,1278
274,Ottawa,756.26,2060
275,Calgary,1358.56,3193
276,Calgary,592.68,387
277,Calgary,1211.24,1603
278,Montreal,599.5,402
279,Toronto,951.76,1581
280,Toronto,801.12,1769
281,Vancouver,295.23,2923
282,Calgary,346.68,1631
