merchant_id,category,merchant_risk_score
1,entertainment,0.044
2,jewelry,0.167
3,online_retail,0.091
4,fuel,0.096
5,electronics,0.063
6,travel,0.103
7,jewelry,0.112
8,dining,0.069
9,grocery,0.083
10,utilities,0.323
11,entertainment,0.043
12,grocery,0.236
13,grocery,0.239
14,electronics,0.081
15,grocery,0.253
16,entertainment,0.338
17,electronics,0.028
18,entertainment,0.039
19,electronics,0.057
20,atm_withdrawal,0.208
21,utilities,0.329
22,dining,0.117
23,fuel,0.088
24,grocery,0.258
25,grocery,0.332
26,online_retail,0.286
27,grocery,0.41
28,entertainment,0.049
29,dining,0.1
30,electronics,0.065
31,online_retail,0.199
32,online_retail,0.28
33,utilities,0.084
34,electronics,0.272
35,online_retail,0.199
36,jewelry,0.18
37,travel,0.214
38,jewelry,0.185
39,utilities,0.17
40,fuel,0.055
41,jewelry,0.08
42,atm_withdrawal,0.054
43,travel,0.111
44,atm_withdrawal,0.287
45,grocery,0.088
46,electronics,0.141
47,grocery,0.235
48,dining,0.192
49,atm_withdrawal,0.132
50,entertainment,0.259
51,entertainment,0.235
52,grocery,0.327
53,online_retail,0.117
54,dining,0.11
55,fuel,0.203
56,travel,0.114
57,travel,0.022
58,atm_withdrawal,0.241
59,online_retail,0.406
60,fuel,0.142
61,grocery,0.176
62,utilities,0.123
63,fuel,0.381
64,dining,0.036
65,entertainment,0.356
66,electronics,0.332
67,online_retail,0.184
68,jewelry,0.129
69,fuel,0.312
70,grocery,0.295
71,travel,0.202
72,grocery,0.049
73,online_retail,0.435
74,dining,0.16
75,electronics,0.226
76,entertainment,0.036
77,electronics,0.041
78,dining,0.054
79,atm_withdrawal,0.226
80,grocery,0.344
81,travel,0.042
82,dining,0.185
83,online_retail,0.375
84,travel,0.027
85,atm_withdrawal,0.421
86,grocery,0.131
87,atm_withdrawal,0.414
88,online_retail,0.141
89,grocery,0.237
90,electronics,0.182
91,electronics,0.116
92,travel,0.102
93,dining,0.144
94,entertainment,0.216
95,dining,0.363
96,utilities,0.154
97,travel,0.442
98,travel,0.332
99,travel,0.204
100,dining,0.172
101,jewelry,0.264
102,travel,0.074
103,travel,0.071
104,atm_withdrawal,0.152
105,entertainment,0.174
106,electronics,0.233
107,jewelry,0.138
108,electronics,0.394
109,electronics,0.061
110,fuel,0.238
111,entertainment,0.157
112,electronics,0.362
113,utilities,0.458
114,electronics,0.074
115,utilities,0.035
116,grocery,0.133
117,fuel,0.194
118,entertainment,0.091
119,travel,0.13
120,entertainment,0.166
121,entertainment,0.355
122,entertainment,0.068
123,dining,0.108
124,utilities,0.089
125,utilities,0.206
126,dining,0.334
127,utilities,0.18
128,atm_withdrawal,0.124
129,jewelry,0.061
130,utilities,0.212
131,utilities,0.135
132,jewelry,0.106
133,travel,0.137
134,utilities,0.108
135,electronics,0.09
136,dining,0.11
137,atm_withdrawal,0.127
138,travel,0.115
139,jewelry,0.286
140,fuel,0.151
141,travel,0.065
142,grocery,0.083
143,online_retail,0.098
144,fuel,0.709
145,online_retail,0.121
146,grocery,0.175
147,travel,0.037
148,grocery,0.139
149,dining,0.363
150,atm_withdrawal,0.117
151,electronics,0.388
152,entertainment,0.077
153,grocery,0.163
154,online_retail,0.156
155,atm_withdrawal,0.095
156,dining,0.204
157,electronics,0.268
158,online_retail,0.25
159,travel,0.422
160,jewelry,0.173
161,jewelry,0.336
162,entertainment,0.119
163,entertainment,0.459
164,entertainment,0.073
