transaction_id,customer_id,merchant_id,category,timestamp,amount,merchant_risk_score,is_fraud,seconds_since_prev_txn
1,239,5,electronics,2025-01-01 00:04:37,92.7,0.063,0,999999
2,1271,20,atm_withdrawal,2025-01-01 00:05:44,109.8,0.208,0,999999
3,1412,29,dining,2025-01-01 00:08:18,232.54,0.1,0,999999
4,1231,156,dining,2025-01-01 00:09:47,22.3,0.204,0,999999
5,94,217,online_retail,2025-01-01 00:18:32,106.35,0.32,0,999999
6,1318,7,jewelry,2025-01-01 00:24:09,51.73,0.112,0,999999
7,200,153,grocery,2025-01-01 00:24:47,129.81,0.163,0,999999
8,108,24,grocery,2025-01-01 00:39:36,357.97,0.258,0,999999
9,1412,297,jewelry,2025-01-01 00:54:48,36.44,0.275,0,2790
10,1578,41,jewelry,2025-01-01 00:55:05,620.4,0.08,1,999999
11,1944,86,grocery,2025-01-01 01:01:13,8.66,0.131,0,999999
12,1577,234,fuel,2025-01-01 01:37:12,90.27,0.23,0,999999
13,1680,102,travel,2025-01-01 01:52:31,60.64,0.074,0,999999
14,1098,11,entertainment,2025-01-01 02:00:18,6.63,0.043,0,999999
15,1487,20,atm_withdrawal,2025-01-01 02:05:02,47.16,0.208,0,999999
16,1422,198,entertainment,2025-01-01 02:06:32,142.76,0.308,0,999999
17,1251,200,electronics,2025-01-01 02:08:58,127.71,0.131,0,999999
18,442,69,fuel,2025-01-01 02:16:42,92.28,0.312,0,999999
19,306,251,online_retail,2025-01-01 02:19:28,325.27,0.293,1,999999
20,1178,65,entertainment,2025-01-01 02:20:07,70.7,0.356,0,999999
21,19,5,electronics,2025-01-01 02:30:39,13.77,0.063,0,999999
22,232,59,online_retail,2025-01-01 02:34:01,41.78,0.406,0,999999
23,1261,139,jewelry,2025-01-01 02:37:00,57.14,0.286,0,999999
24,1912,109,electronics,2025-01-01 02:38:36,90.83,0.061,0,999999
25,1215,255,dining,2025-01-01 02:42:01,1418.94,0.147,1,999999
26,1420,123,dining,2025-01-01 02:47:16,58.18,0.108,0,999999
27,1087,100,dining,2025-01-01 02:51:50,50.33,0.172,0,999999
28,1222,84,travel,2025-01-01 02:51:56,22.73,0.027,0,999999
29,1548,63,fuel,2025-01-01 03:26:57,14.63,0.381,0,999999
30,1871,107,jewelry,2025-01-01 03:43:16,91.98,0.138,0,999999
31,336,243,dining,2025-01-01 03:57:05,12.7,0.039,0,999999
32,1329,165,utilities,2025-01-01 04:09:47,9.95,0.263,0,999999
33,1904,66,electronics,2025-01-01 04:12:25,95.75,0.332,0,999999
34,1067,207,utilities,2025-01-01 04:14:33,100.04,0.212,0,999999
35,1295,67,online_retail,2025-01-01 04:23:10,48.5,0.184,0,999999
36,745,135,electronics,2025-01-01 04:26:21,151.6,0.09,0,999999
37,233,39,utilities,2025-01-01 04:39:09,12.53,0.17,0,999999
38,1997,100,dining,2025-01-01 04:58:09,188.61,0.172,0,999999
39,156,116,grocery,2025-01-01 04:59:15,11.63,0.133,0,999999
40,821,128,atm_withdrawal,2025-01-01 05:00:54,114.46,0.124,0,999999
41,1461,97,travel,2025-01-01 05:03:06,188.53,0.442,0,999999
42,1563,273,atm_withdrawal,2025-01-01 05:04:01,137.69,0.163,0,999999
43,1243,9,grocery,2025-01-01 05:24:03,4.23,0.083,0,999999
44,568,215,jewelry,2025-01-01 05:43:47,103.9,0.115,0,999999
45,575,24,grocery,2025-01-01 05:45:28,113.71,0.258,0,999999
46,830,291,fuel,2025-01-01 06:07:18,85.28,0.146,0,999999
47,1333,292,atm_withdrawal,2025-01-01 06:15:56,75.98,0.183,0,999999
48,161,110,fuel,2025-01-01 06:25:54,84.61,0.238,0,999999
49,764,54,dining,2025-01-01 06:49:57,66.52,0.11,0,999999
50,1772,281,entertainment,2025-01-01 06:53:33,121.75,0.258,0,999999
51,1019,162,entertainment,2025-01-01 07:01:17,31.18,0.119,0,999999
52,443,99,travel,2025-01-01 07:10:06,26.09,0.204,0,999999
53,515,274,travel,2025-01-01 07:11:17,42.59,0.203,0,999999
54,1192,264,online_retail,2025-01-01 07:20:42,69.75,0.223,0,999999
55,1286,220,grocery,2025-01-01 07:45:20,56.84,0.101,0,999999
56,235,223,fuel,2025-01-01 07:45:27,19.93,0.147,0,999999
57,1773,129,jewelry,2025-01-01 07:49:45,31.62,0.061,0,999999
58,1648,210,entertainment,2025-01-01 07:53:59,29.23,0.158,0,999999
59,154,141,travel,2025-01-01 08:03:13,56.23,0.065,0,999999
60,1774,69,fuel,2025-01-01 08:03:20,11.55,0.312,0,999999
61,1417,66,electronics,2025-01-01 08:13:04,9.17,0.332,0,999999
62,609,178,fuel,2025-01-01 08:13:31,9.1,0.235,0,999999
63,1944,61,grocery,2025-01-01 08:13:58,103.16,0.176,0,25965
64,1405,205,electronics,2025-01-01 08:20:49,90.38,0.137,0,999999
65,293,166,fuel,2025-01-01 08:32:16,42.8,0.144,0,999999
66,1608,250,jewelry,2025-01-01 08:45:29,47.27,0.205,0,999999
67,1247,42,atm_withdrawal,2025-01-01 08:45:55,3.52,0.054,0,999999
68,1874,35,online_retail,2025-01-01 08:54:53,163.05,0.199,0,999999
69,414,251,online_retail,2025-01-01 08:59:11,2.27,0.293,0,999999
70,1146,48,dining,2025-01-01 09:13:01,21.7,0.192,0,999999
71,920,222,fuel,2025-01-01 09:13:03,55.72,0.286,0,999999
72,562,278,electronics,2025-01-01 09:31:59,53.64,0.123,0,999999
73,1601,119,travel,2025-01-01 09:38:53,24.22,0.13,0,999999
74,1608,165,utilities,2025-01-01 09:41:39,17.53,0.263,0,3370
75,1106,222,fuel,2025-01-01 09:41:40,52.2,0.286,0,999999
76,1240,20,atm_withdrawal,2025-01-01 09:44:33,22.87,0.208,0,999999
77,376,223,fuel,2025-01-01 09:50:39,141.25,0.147,0,999999
78,906,9,grocery,2025-01-01 09:50:44,19.97,0.083,0,999999
79,1714,11,entertainment,2025-01-01 09:56:06,25.86,0.043,0,999999
80,536,220,grocery,2025-01-01 10:41:29,61.37,0.101,0,999999
81,1766,180,fuel,2025-01-01 10:45:09,39.61,0.195,0,999999
82,1481,116,grocery,2025-01-01 10:46:20,10.7,0.133,0,999999
83,1828,96,utilities,2025-01-01 10:58:56,35.81,0.154,0,999999
84,574,18,entertainment,2025-01-01 11:28:30,22.59,0.039,0,999999
85,520,246,travel,2025-01-01 11:32:56,128.87,0.175,0,999999
86,1350,223,fuel,2025-01-01 11:57:21,70.99,0.147,0,999999
87,1904,234,fuel,2025-01-01 11:59:02,21.18,0.23,0,27997
88,1318,171,entertainment,2025-01-01 12:03:49,52.16,0.359,0,41980
89,357,258,online_retail,2025-01-01 12:13:32,32.04,0.117,0,999999
90,861,187,atm_withdrawal,2025-01-01 12:16:16,92.3,0.264,0,999999
91,92,278,electronics,2025-01-01 12:21:53,25.17,0.123,0,999999
92,1627,204,utilities,2025-01-01 12:25:02,114.41,0.115,0,999999
93,552,297,jewelry,2025-01-01 12:40:01,3.16,0.275,0,999999
94,819,204,utilities,2025-01-01 12:44:59,63.41,0.115,0,999999
95,231,252,grocery,2025-01-01 13:10:09,304.08,0.083,0,999999
96,1383,232,online_retail,2025-01-01 13:23:25,21.07,0.129,0,999999
97,314,91,electronics,2025-01-01 13:29:56,12.5,0.116,0,999999
98,1756,225,entertainment,2025-01-01 13:33:44,49.46,0.111,0,999999
99,1863,60,fuel,2025-01-01 13:36:15,38.19,0.142,0,999999
100,1391,272,fuel,2025-01-01 13:43:46,99.66,0.084,0,999999
101,1614,149,dining,2025-01-01 13:47:29,63.45,0.363,0,999999
102,54,248,grocery,2025-01-01 13:50:09,68.49,0.128,0,999999
103,1805,141,travel,2025-01-01 13:52:50,7.01,0.065,0,999999
104,16,299,fuel,2025-01-01 13:56:24,146.65,0.129,0,999999
105,810,103,travel,2025-01-01 14:06:00,39.66,0.071,0,999999
106,1018,254,utilities,2025-01-01 14:28:09,104.7,0.042,0,999999
107,1374,135,electronics,2025-01-01 14:33:15,111.61,0.09,0,999999
108,921,59,online_retail,2025-01-01 14:37:21,272.55,0.406,0,999999
109,1837,200,electronics,2025-01-01 14:40:20,52.39,0.131,0,999999
110,491,260,travel,2025-01-01 14:46:11,12.05,0.3,0,999999
111,487,119,travel,2025-01-01 14:49:56,686.37,0.13,0,999999
112,1657,207,utilities,2025-01-01 14:54:33,52.12,0.212,0,999999
113,49,118,entertainment,2025-01-01 14:55:58,62.39,0.091,0,999999
114,153,38,jewelry,2025-01-01 15:14:53,85.25,0.185,0,999999
115,1815,23,fuel,2025-01-01 15:16:06,162.33,0.088,0,999999
116,955,194,online_retail,2025-01-01 15:27:04,7.1,0.114,1,999999
117,122,59,online_retail,2025-01-01 15:27:38,170.74,0.406,0,999999
118,955,128,atm_withdrawal,2025-01-01 15:28:22,11.6,0.124,1,78
119,955,85,atm_withdrawal,2025-01-01 15:28:47,1.33,0.421,1,25
120,955,194,online_retail,2025-01-01 15:29:35,10.96,0.114,1,48
121,1695,35,online_retail,2025-01-01 15:39:03,6.64,0.199,0,999999
122,1294,67,online_retail,2025-01-01 15:48:05,131.35,0.184,0,999999
123,431,274,travel,2025-01-01 15:49:15,52.7,0.203,0,999999
124,456,130,utilities,2025-01-01 15:55:34,56.67,0.212,0,999999
125,1551,73,online_retail,2025-01-01 15:56:37,41.3,0.435,0,999999
126,226,143,online_retail,2025-01-01 15:56:57,78.32,0.098,0,999999
127,1614,289,fuel,2025-01-01 16:01:40,35.98,0.203,0,8051
128,1240,140,fuel,2025-01-01 16:02:06,197.14,0.151,0,22653
129,1396,290,fuel,2025-01-01 16:16:34,90.19,0.208,0,999999
130,475,63,fuel,2025-01-01 16:18:00,16.85,0.381,0,999999
131,678,40,fuel,2025-01-01 16:26:27,591.95,0.055,0,999999
132,843,103,travel,2025-01-01 16:28:47,8.19,0.071,0,999999
133,693,279,online_retail,2025-01-01 16:31:19,240.79,0.263,0,999999
134,1378,248,grocery,2025-01-01 16:33:24,63.87,0.128,0,999999
135,929,165,utilities,2025-01-01 16:51:11,37.89,0.263,0,999999
136,215,177,utilities,2025-01-01 16:55:32,125.45,0.217,0,999999
137,1361,135,electronics,2025-01-01 17:23:07,27.57,0.09,0,999999
138,1044,22,dining,2025-01-01 17:28:02,45.74,0.117,0,999999
139,1357,33,utilities,2025-01-01 17:40:48,220.53,0.084,0,999999
140,1836,280,online_retail,2025-01-01 17:50:32,16.84,0.076,0,999999
141,1488,22,dining,2025-01-01 17:56:25,56.32,0.117,0,999999
142,1945,3,online_retail,2025-01-01 18:03:23,174.45,0.091,0,999999
143,486,36,jewelry,2025-01-01 18:12:37,40.28,0.18,0,999999
144,1749,260,travel,2025-01-01 18:13:01,30.75,0.3,0,999999
145,1130,188,dining,2025-01-01 18:13:56,41.38,0.151,0,999999
146,1888,272,fuel,2025-01-01 18:17:22,80.84,0.084,0,999999
147,1873,295,atm_withdrawal,2025-01-01 18:19:13,188.22,0.193,0,999999
148,1493,100,dining,2025-01-01 18:27:43,23.89,0.172,0,999999
149,414,203,grocery,2025-01-01 18:28:18,29.23,0.106,0,34147
150,520,210,entertainment,2025-01-01 18:33:33,83.75,0.158,0,25237
151,1404,213,travel,2025-01-01 18:33:57,10.65,0.425,0,999999
152,1513,32,online_retail,2025-01-01 18:47:50,129.87,0.28,0,999999
153,144,124,utilities,2025-01-01 18:47:58,72.3,0.089,0,999999
154,1386,183,online_retail,2025-01-01 19:02:54,215.58,0.117,0,999999
155,1329,133,travel,2025-01-01 19:08:27,141.53,0.137,0,53920
156,1454,100,dining,2025-01-01 19:09:00,147.29,0.172,0,999999
157,789,123,dining,2025-01-01 19:09:06,11.6,0.108,0,999999
158,1991,68,jewelry,2025-01-01 19:25:01,38.66,0.129,0,999999
159,1741,220,grocery,2025-01-01 19:42:37,318.19,0.101,0,999999
