transaction_id,customer_id,category,amount,timestamp,fraud_score
31340,910,online_retail,12.91,2025-06-08 06:01:27,1.0
40112,1117,atm_withdrawal,1.86,2025-07-22 04:18:55,1.0
2052,794,atm_withdrawal,8.79,2025-01-11 08:13:41,1.0
665,71,atm_withdrawal,9.83,2025-01-04 09:38:16,1.0
27300,848,atm_withdrawal,3.02,2025-05-19 04:23:18,1.0
21166,976,atm_withdrawal,4.21,2025-04-18 01:31:46,1.0
49055,1231,atm_withdrawal,12.15,2025-09-05 08:23:21,1.0
29718,740,jewelry,8.21,2025-05-31 08:43:05,1.0
5612,1875,jewelry,9.96,2025-01-29 06:50:47,1.0
667,71,atm_withdrawal,9.02,2025-01-04 09:39:09,1.0
21771,137,atm_withdrawal,4.85,2025-04-21 01:24:36,1.0
2049,794,atm_withdrawal,1.44,2025-01-11 08:11:59,0.9999
57654,819,jewelry,11.19,2025-10-18 20:36:17,0.9999
1273,1193,atm_withdrawal,5.74,2025-01-07 11:49:50,0.9999
32367,636,atm_withdrawal,9.11,2025-06-13 10:49:37,0.9999
12253,1664,atm_withdrawal,2.04,2025-03-03 20:59:20,0.9999
57653,819,jewelry,10.48,2025-10-18 20:35:13,0.9999
33491,255,online_retail,4.6,2025-06-18 18:35:49,0.9999
41211,1893,atm_withdrawal,2.01,2025-07-27 15:09:24,0.9999
10654,359,atm_withdrawal,3.24,2025-02-24 05:33:07,0.9999
42321,176,atm_withdrawal,11.78,2025-08-02 01:59:28,0.9999
15764,311,atm_withdrawal,4.32,2025-03-21 14:43:27,0.9999
16513,1267,atm_withdrawal,5.68,2025-03-24 23:42:57,0.9999
41823,210,atm_withdrawal,2.27,2025-07-30 14:39:40,0.9999
15434,198,atm_withdrawal,7.49,2025-03-19 23:45:13,0.9999
43005,1931,atm_withdrawal,2.41,2025-08-05 15:53:30,0.9999
12560,67,atm_withdrawal,5.0,2025-03-05 06:46:20,0.9999
32326,530,atm_withdrawal,11.5,2025-06-13 06:24:22,0.9999
19889,1837,jewelry,12.9,2025-04-11 08:11:54,0.9999
40223,203,atm_withdrawal,4.4,2025-07-22 16:33:26,0.9999
32325,530,atm_withdrawal,2.08,2025-06-13 06:23:35,0.9999
11532,459,online_retail,11.08,2025-02-28 09:26:55,0.9999
47617,1719,atm_withdrawal,9.57,2025-08-29 05:02:32,0.9999
47616,1719,atm_withdrawal,1.22,2025-08-29 05:01:05,0.9999
9582,1280,atm_withdrawal,1.9,2025-02-18 16:04:50,0.9999
20049,404,atm_withdrawal,1.64,2025-04-12 04:58:51,0.9999
47280,421,online_retail,12.92,2025-08-27 14:31:31,0.9999
40244,1333,atm_withdrawal,8.41,2025-07-22 18:20:22,0.9999
9145,1623,atm_withdrawal,8.96,2025-02-16 10:42:35,0.9999
36191,851,atm_withdrawal,7.69,2025-07-02 20:53:11,0.9999
40151,1573,atm_withdrawal,8.39,2025-07-22 07:01:53,0.9999
40150,1573,atm_withdrawal,2.1,2025-07-22 07:01:27,0.9999
